t0_sec,t0_nsec,pps_sec,pps_nsec,t_pps
1494288558,36310427,1494288667,12397427, 108.9760894775
1494288558,36310427,1494288668,12430427, 109.9761199951
1494288558,36310427,1494288669,12468427, 110.9761581421
1494288558,36310427,1494288670,12504427, 111.9761962891
1494288558,36310427,1494288671,12540427, 112.9762268066
1494288558,36310427,1494288672,12577427, 113.9762649536
1494288558,36310427,1494288673,12613427, 114.9763031006
1494288558,36310427,1494288674,12652427, 115.9763412476
1494288558,36310427,1494288675,12687427, 116.9763793945
1494288558,36310427,1494288676,12724427, 117.9764175415
1494288558,36310427,1494288677,12795427, 118.9764862061
1494288558,36310427,1494288678,12816427, 119.9765090942
1494288558,36310427,1494288679,12834427, 120.9765243530
1494288558,36310427,1494288680,12875427, 121.9765625000
1494288558,36310427,1494288681,12914427, 122.9766006470
1494288558,36310427,1494288682,12944427, 123.9766311646
1494288558,36310427,1494288683,12985427, 124.9766769409
1494288558,36310427,1494288684,13022427, 125.9767150879
1494288558,36310427,1494288685,13058427, 126.9767456055
1494288558,36310427,1494288686,13092427, 127.9767837524
1494288558,36310427,1494288687,13132427, 128.9768218994
1494288558,36310427,1494288688,13168427, 129.9768524170
1494288558,36310427,1494288689,13205427, 130.9768981934
1494288558,36310427,1494288690,13242427, 131.9769287109
1494288558,36310427,1494288691,13279427, 132.9769744873
1494288558,36310427,1494288692,13314427, 133.9770050049
1494288558,36310427,1494288693,13351427, 134.9770355225
1494288558,36310427,1494288694,13388427, 135.9770812988
1494288558,36310427,1494288695,13419427, 136.9771118164
1494288558,36310427,1494288696,13461427, 137.9771575928
1494288558,36310427,1494288697,13497427, 138.9771881104
1494288558,36310427,1494288698,13533427, 139.9772186279
1494288558,36310427,1494288699,13564427, 140.9772491455
1494288558,36310427,1494288700,13600427, 141.9772949219
1494288558,36310427,1494288701,13645427, 142.9773406982
1494288558,36310427,1494288702,13681427, 143.9773712158
1494288558,36310427,1494288703,13717427, 144.9774017334
1494288558,36310427,1494288704,13754427, 145.9774475098
1494288558,36310427,1494288705,13789427, 146.9774780273
1494288558,36310427,1494288706,13824427, 147.9775085449
1494288558,36310427,1494288707,13863427, 148.9775543213
1494288558,36310427,1494288708,13891427, 149.9775848389
1494288558,36310427,1494288709,13932427, 150.9776153564
1494288558,36310427,1494288710,13967427, 151.9776611328
1494288558,36310427,1494288711,14001427, 152.9776916504
1494288558,36310427,1494288712,14045427, 153.9777374268
1494288558,36310427,1494288713,14082427, 154.9777679443
1494288558,36310427,1494288714,14118427, 155.9778137207
1494288558,36310427,1494288715,14152427, 156.9778442383
1494288558,36310427,1494288716,14187427, 157.9778747559
1494288558,36310427,1494288717,14228427, 158.9779205322
1494288558,36310427,1494288718,14265427, 159.9779510498
1494288558,36310427,1494288719,14302427, 160.9779968262
1494288558,36310427,1494288720,14336427, 161.9780273438
1494288558,36310427,1494288721,14375427, 162.9780578613
1494288558,36310427,1494288722,14406427, 163.9780883789
1494288558,36310427,1494288723,14441427, 164.9781341553
1494288558,36310427,1494288724,14480427, 165.9781646729
1494288558,36310427,1494288725,14512427, 166.9781951904
1494288558,36310427,1494288726,14560427, 167.9782562256
1494288558,36310427,1494288727,14593427, 168.9782867432
1494288558,36310427,1494288728,14624427, 169.9783172607
1494288558,36310427,1494288729,14662427, 170.9783477783
1494288558,36310427,1494288730,14698427, 171.9783935547
1494288558,36310427,1494288731,14736427, 172.9784240723
1494288558,36310427,1494288732,14775427, 173.9784698486
1494288558,36310427,1494288733,14809427, 174.9785003662
1494288558,36310427,1494288734,14845427, 175.9785308838
1494288558,36310427,1494288735,14881427, 176.9785766602
1494288558,36310427,1494288736,14917427, 177.9786071777
1494288558,36310427,1494288737,14953427, 178.9786376953
1494288558,36310427,1494288738,14996427, 179.9786834717
1494288558,36310427,1494288739,15032427, 180.9787292480
1494288558,36310427,1494288740,15064427, 181.9787597656
1494288558,36310427,1494288741,15100427, 182.9787902832
1494288558,36310427,1494288742,15137427, 183.9788208008
1494288558,36310427,1494288743,15174427, 184.9788665771
1494288558,36310427,1494288744,15207427, 185.9788970947
1494288558,36310427,1494288745,15246427, 186.9789428711
1494288558,36310427,1494288746,15282427, 187.9789733887
1494288558,36310427,1494288747,15319427, 188.9790039062
1494288558,36310427,1494288748,15357427, 189.9790496826
1494288558,36310427,1494288749,15393427, 190.9790802002
1494288558,36310427,1494288750,15428427, 191.9791107178
1494288558,36310427,1494288751,15466427, 192.9791564941
1494288558,36310427,1494288752,15501427, 193.9791870117
1494288558,36310427,1494288753,15538427, 194.9792327881
1494288558,36310427,1494288754,15574427, 195.9792633057
1494288558,36310427,1494288755,15611427, 196.9792938232
1494288558,36310427,1494288756,15647427, 197.9793395996
1494288558,36310427,1494288757,15684427, 198.9793701172
1494288558,36310427,1494288758,15720427, 199.9794158936
1494288558,36310427,1494288759,15766427, 200.9794616699
1494288558,36310427,1494288760,15800427, 201.9794921875
1494288558,36310427,1494288761,15831427, 202.9795227051
1494288558,36310427,1494288762,15873427, 203.9795684814
1494288558,36310427,1494288763,15910427, 204.9795989990
1494288558,36310427,1494288764,15946427, 205.9796295166
1494288558,36310427,1494288765,15982427, 206.9796752930
1494288558,36310427,1494288766,16014427, 207.9797058105
1494288558,36310427,1494288767,16050427, 208.9797363281
1494288558,36310427,1494288768,16087427, 209.9797821045
1494288558,36310427,1494288769,16128427, 210.9798126221
1494288558,36310427,1494288771,16195427, 212.9798889160
1494288558,36310427,1494288772,16237427, 213.9799194336
1494288558,36310427,1494288773,16274427, 214.9799652100
1494288558,36310427,1494288774,16312427, 215.9799957275
1494288558,36310427,1494288775,16350427, 216.9800415039
1494288558,36310427,1494288776,16377427, 217.9800720215
1494288558,36310427,1494288777,16419427, 218.9801025391
1494288558,36310427,1494288778,16457427, 219.9801483154
1494288558,36310427,1494288779,16494427, 220.9801788330
1494288558,36310427,1494288780,16523427, 221.9802093506
1494288558,36310427,1494288781,16566427, 222.9802551270
1494288558,36310427,1494288782,16602427, 223.9802856445
1494288558,36310427,1494288783,16639427, 224.9803314209
1494288558,36310427,1494288784,16672427, 225.9803619385
1494288558,36310427,1494288785,16712427, 226.9804077148
1494288558,36310427,1494288786,16748427, 227.9804382324
1494288558,36310427,1494288787,16780427, 228.9804687500
1494288558,36310427,1494288788,16817427, 229.9805145264
1494288558,36310427,1494288789,16858427, 230.9805450439
1494288558,36310427,1494288790,16890427, 231.9805755615
1494288558,36310427,1494288791,16931427, 232.9806213379
1494288558,36310427,1494288792,16961427, 233.9806518555
1494288558,36310427,1494288793,16996427, 234.9806823730
